Field,Degree Level,Name of Degree,University name,Annual Fee,Duration,Intakes,General Entry Requirements and Documents,Language of teaching,Scholarships available
Malaysian University Program,Undergraduate,Bachelor of early Childhood Education,Atlas Group of Institutes,,,Jan & May,,English,
Malaysian University Program,Postgraduayte,Master of Business Administration,Atlas Group of Institutes,AED 14000 per year,2years,Jan & May,,English,
Malaysian University Program,Postgraduayte,Master of  Psychology,Atlas Group of Institutes,AED 14000 per year,2years,Jan & May,,English,
Medicine,Doctorate,Doctor of Medicine,Ajman University,"AED 121,000",6,Jan/Sep,"For UG: School certificate/transcript attested by MOE, MOFA",English,
Dentistry,Undergraduate,Bachelor of Dental Surgery,Ajman University,"AED 110,000",5,Jan/Sep,Equivalency certificate,English,
Dentistry,Postgraduate,Master of Science in Restorative Dentistry,Ajman University,"AED 140,000",3,Jan/Sep,"(EmSAT-English) with a score of 1100
 or (5.0 IELTS Academic or TOEFL (ITP-score of 500) or its equivalent",English,
Dentistry,Postgraduate,Master of Science in Pediatric Dentistry,Ajman University,"AED 154,000",3,Jan/Sep,Colored copy of Passport,English,
Dentistry,Doctorate,Master of Science in Endodontics,Ajman University,"AED 140,000",3,Jan/Sep,Valid Emirates ID for locals,English,
"Pharmacy &
Health Sciences",Undergraduate,Bachelor of Pharmacy,Ajman University,"AED 61,000",4.5,Jan/Sep,Colored photo (size 3x4),English,
"Pharmacy &
Health Sciences",Undergraduate,Bachelor of Science in Nursing (2),Ajman University,"AED 45,000",4,Jan/Sep,,English,
"Pharmacy &
Health Sciences",Postgraduate,Master of Science in Clinical Pharmacy (3),Ajman University,"AED 70,500",2,Jan/Sep,,English,
"Architecture, Art
and Design",Undergraduate,Bachelor of Architecture,Ajman University,"AED 56,500",5,Jan/Sep,,English,
"Architecture, Art
and Design",Undergraduate,Bachelor of Architectural Engineering,Ajman University,"AED 50,600",5,Jan/Sep,,English,
"Architecture, Art
and Design",Undergraduate,Bachelor of Interior Design,Ajman University,"AED 48,000",4,Jan/Sep,For PG: Bachelor's degree and transcript,English,
"Architecture, Art
and Design",Postgraduate,Master of Science in Urban Design,Ajman University,"AED 38,500",2,Jan/Sep,Equivalency certificate,English,
"Engineering
and Information
Technology",Undergraduate,Bachelor of Science in Electrical Engineering,Ajman University,"AED 52,500",4,Jan/Sep,"EmSAT-English with a minimum score of 1400, or IELTS-Academic with 6.0 score, or TOEFL-ITP with 550 score, or its equivalent.",English,
"Engineering
and Information
Technology",Undergraduate,Bachelor of Science in Civil Engineering,Ajman University,"AED 52,500",4,Jan/Sep,"Professional Postgraduate Diploma in Teaching program and all Master programs taught in Arabic: EmSAT-English with a minimum score of 950, or IELTS-Academic with 4.5 score, or TOEFL-ITP with 450 score, or its equivalent.",English,
"Engineering
and Information
Technology",Undergraduate,Bachelor of Science in Mechanical Engineering,Ajman University,"AED 52,500",4,Jan/Sep,CV/ experience certificate,English,
"Engineering
and Information
Technology",Undergraduate,Bachelor of Science in Biomedical Engineering,Ajman University,"AED 53,000",4,Jan/Sep,Colored copy of Passport,English,
"Engineering
and Information
Technology",Undergraduate,Bachelor of Science in Computer Engineering,Ajman University,"AED 53,500",4,Jan/Sep,Valid Emirates ID for locals,English,
"Engineering
and Information
Technology",Undergraduate,Bachelor of Science in Information Systems/Project Management,Ajman University,"AED 48,500",4,Jan/Sep,Colored photo (size 3x4),English,
"Engineering
and Information
Technology",Undergraduate,Bachelor of Science in Information Systems/E-Business Management,Ajman University,"AED 48,500",4,Jan/Sep,,English,
"Engineering
and Information
Technology",Undergraduate,Bachelor of Science in Information Technology/Networking and Security,Ajman University,"AED 48,500",4,Jan/Sep,,English,
"Engineering
and Information
Technology",Undergraduate,Bachelor of Science in Data Analytics,Ajman University,"AED 48,500",4,Jan/Sep,,English,
"Engineering
and Information
Technology",Postgraduate,Master of Science in Artificial Intelligence,Ajman University,"AED 38,500",2,Jan/Sep,,English,
"Business
Administration",Undergraduate,Bachelor of Science in Management,Ajman University,"AED 43,500",4,Jan/Sep,AED 2100 application fee,English,
"Business
Administration",Undergraduate,Bachelor of Science in Marketing,Ajman University,"AED 43,500",4,Jan/Sep,first installment is AED 10000,English,
"Business
Administration",Undergraduate,Bachelor of Science in Finance,Ajman University,"AED 43,500",4,Jan/Sep,Rest they can pay 4 cheques in one semester,English,
"Business
Administration",Undergraduate,Bachelor of Science in Accounting,Ajman University,"AED 43,500",4,Jan/Sep,,English,
"Business
Administration",Postgraduate,Master of Business Administration (Marketing),Ajman University,"AED 36,800",2,Jan/Sep,,English,
"Business
Administration",Postgraduate,Master of Business Administration (Human Resource Management),Ajman University,"AED 36,800",2,Jan/Sep,,English,
"Business
Administration",Postgraduate,Master of Business Administration (Financial Management),Ajman University,"AED 36,800",2,Jan/Sep,,English,
"Business
Administration",Doctorate,Doctorate of Business Administration (DBA),Ajman University,"AED 68,325",3 - 4,Jan/Sep,,English,
"Humanities and
Sciences",Undergraduate,Bachelor of Arts in Sociology and Social Work,Ajman University,"AED 68,325",4,Jan/Sep,,English,
"Humanities and
Sciences",Undergraduate,Bachelor of Arts in Psychology,Ajman University,"AED 34,800",4,Jan/Sep,,English,
"Humanities and
Sciences",Postgraduate,Professional Postgraduate Diploma in Teaching,Ajman University,"AED 36,500",1,Jan/Sep,,English,
"Mass
Communication",Undergraduate,Bachelor of Mass Communication / Integrated Marketing Communications,Ajman University,"AED 42,000",4,Jan/Sep,,English,
"Mass
Communication",Undergraduate,Bachelor of Mass Communication / Radio and Television Production,Ajman University,"AED 42,000",4,Jan/Sep,,English,
"Mass
Communication",Undergraduate,Bachelor of Mass Communication / Graphic Design for Media,Ajman University,"AED 42,000",4,Jan/Sep,,English,
"Mass
Communication",Postgraduate,Master of Public Relations and Corporate Communication,Ajman University,"AED 46,210",2,Jan/Sep,,English,
Law,Undergraduate,Bachelor of Law,Ajman University,"AED 40,000",4,Jan/Sep,,English,
Law,Postgraduate,Master of Law in Private Law,Ajman University,"AED 37,000",2,Jan/Sep,,English,
Law,Postgraduate,Master of Law in Public Law,Ajman University,"AED 37,000",2,Jan/Sep,,English,
Law,Doctorate,Doctor of Philosophy in Law,Ajman University,"AED 67,325",3,Jan/Sep,,English,
Foundation,Foundation,Amity University Foundation Programme,Amity University,"AED 30,000",1 Year,Janaury/September,Minimum 60%,English,"Merit (local student)

30 % CAA (ministry program ) PG & UG ( CBSE 60 above, IGSCE 3 - 4 SUBJECT not less than  D, AS level is required, English proficiency (Academic english exam) 


(Fast track)Hotel management, tourism, Law , foundation ( 20%)

Requirement  (apply early)

Deadline ( Local & International student 3000 dhs 15 December )"
Business,Undergraduate,Bachelor of Business Administration,Amity University,"AED 64,575",4 Years,Janaury/September,"EmSAT minimum score of 1100, TOEFL 500, TOEFL iBT 61, TOEFL CBT 173, IELTS Academic 5.0",English,
Business,Undergraduate,Bachelor of Commerce in Accounting,Amity University,"AED 64,575",4 Years,Janaury/September,Passport,English,
Business,Undergraduate,Bachelor of Finance,Amity University,"AED 64,575",4 Years,Janaury/September,Transcript,English,
Business,Postgraduate,Master of Business Administration,Amity University,"AED 49,500",1.5 Years,Janaury/September,Certificate,English,
Business,Postgraduate,Executive Master of Business Administration,Amity University,"AED 38,500",2 Years,Janaury/September,,English,
Business,Postgraduate,Post Graduate Diploma in Digital Marketing Strategies,Amity University,"AED 13,920",1 Year,Janaury/September,,English,
"Engineering, Architecture and Interior Design",Undergraduate,Bachelor of Architecture,Amity University,"AED 71,280",5 Years,Janaury/September,,English,
"Engineering, Architecture and Interior Design",Undergraduate,Bachelor of Interior Design,Amity University,"AED 66,550",4 Years,Janaury/September,,English,
"Engineering, Architecture and Interior Design",Undergraduate,Bachelor of Science in Information Technology,Amity University,"AED 67,650",3 Years,Janaury/September,,English,
"Engineering, Architecture and Interior Design",Undergraduate,Bachelor of Scienece in Biotechnology,Amity University,"AED 69,850",4 Years,Janaury/September,,English,
"Engineering, Architecture and Interior Design",Undergraduate,Bachelor of Computer Science,Amity University,"AED 68,750",4 Years,Janaury/September,,English,
"Engineering, Architecture and Interior Design",Undergraduate,Bachelor of Science Aerospace Engineering,Amity University,"AED 73,150",4 Years,Janaury/September,,English,
"Engineering, Architecture and Interior Design",Undergraduate,Bachelor of Science Civil Engineering,Amity University,"AED 74,250",4 Years,Janaury/September,,English,
"Engineering, Architecture and Interior Design",Undergraduate,Bachelor of Science Electrical Engineering,Amity University,"AED 76,450",4 Years,Janaury/September,,English,
"Engineering, Architecture and Interior Design",Undergraduate,Bachelor of Science Mechanical Engineering,Amity University,"AED 77,000",4 Years,Janaury/September,,English,
Humanities,Undergraduate,Bachelor of Arts (Honours) Psychology,Amity University,"AED 42,000",3 Years,Janaury/September,,English,
Humanities,Undergraduate,Bachelor of Arts Bachelor of Law (Honours),Amity University,"AED 35,000",5 Years,Janaury/September,,English,
Humanities,Undergraduate,Bachelor of Arts Film and Television Production,Amity University,"AED 45,000",3 Years,Janaury/September,,English,
Humanities,Undergraduate,Bachelor of Arts Journalism and Mass Communication,Amity University,"AED 45,000",3 Years,Janaury/September,,English,
Humanities,Undergraduate,Bachelor of Arts Tourism Administration,Amity University,"AED 40,000",3 Years,Janaury/September,,English,
Humanities,Undergraduate,Bachelor of Business Administration Bachelor of Law (Honours),Amity University,"AED 35,000",5 Years,Janaury/September,,English,
Humanities,Undergraduate,Bachelor of Design Fashion Design,Amity University,"AED 40,000",4 Years,Janaury/September,,English,
Humanities,Undergraduate,Bachelor of Fine Arts Animation,Amity University,"AED 40,000",4 Years,Janaury/September,,English,
Humanities,Undergraduate,Bachelor of Hotel Management,Amity University,"AED 40,000",4 Years,Janaury/September,,English,
Humanities,Undergraduate,Bachelor of Science (Honours) Forensic Sciences,Amity University,"AED 45,000",3 Years,Janaury/September,,English,
Humanities,Postgraduate,Master of Science in Psychology,Amity University,"AED 45,000",2 Years,Janaury/September,,English,
Humanities,Postgraduate,Master of Science (Forensic Sciences),Amity University,"AED 45,000",2 Years,Janaury/September,,English,
Humanities,Postgraduate,Master of Laws (LL.M.),Amity University,"AED 112,200",12/16 Months,Janaury/September,,English,
Humanities,Postgraduate,Master of Education,Amity University,"AED 54,000",2 Years,Janaury/September,,English,
Computer & IT,Undergraduate,BSc Artificial Intelligence and Computer Science,University of Birmingham,"AED 132,778",3 years,Sep,"Academic Certificates; A Levels- A*AA - ABB, IB- 6,6,6 - 6,5,5",English,
Computer & IT,Undergraduate,BSc Artificial Intelligence and Computer Science  with Integrated Foundation Year,University of Birmingham,"AED 114,602+AED 132,778",4 years,Jan/Sep,"Academic Transcripts; A Levels- BBB - BCC, IB- 5,5,4",English,
Computer & IT,Undergraduate,BSc Computer Science with Integrated Foundation Year,University of Birmingham,"AED 114,602+AED 132,778",4 years,Jan/Sep,"Passports; A Levels- BBB - BCC, IB- 5,5,4",English,
Computer & IT,Undergraduate,BSc Computer Science,University of Birmingham,"AED 132,778",3 Years,Sep,"Personal Statement; A Levels- A*AA - ABB, IB- 6,6,6 - 6,5,5",English,
Computer & IT,Postgraduate,MSc Artificial Intelligence and Machine Learning,University of Birmingham,"AED 148,138(full time)/AED 74,069(part time)",1 year (full-time)/2 years(part-time),Sep,"LOR; 2:1 Honours degree (Computer Science, Mathematics, Physics, Engineering, Economics)",English,
Computer & IT,Postgraduate,MSc Bioinformatics,University of Birmingham,"AED 138,456",1 year (full-time)/2 years(part-time),Sep,CV; IELTS 6.5 with no less than 6.0 in any band,English,
Computer & IT,Postgraduate,MSc Cyber Security,University of Birmingham,"AED 148,138(full time)/AED 74,069(part time)",1 year (full-time)/2 years(part-time),Jan/Sep,2:1 Honours degree (Computer Science or a closely related discipline),English,
Computer & IT,Postgraduate,Masters/MSc Data Science,University of Birmingham,"AED 148,138(full time)/AED 74,069(part time)",1 year (full-time)/2 years(part-time),Sep,2:1 Honours degree in any subject plus Grade A (or above) in A Level Mathematics or equivalent (if your first degree is not Mathematics),English,
Computer & IT,Postgraduate,MSc/PGDip Computer Science,University of Birmingham,"AED 148,138(full time)/AED 74,069(part time)",1 year (full-time)/2 years(part-time),Jan/Sep,"2:2 Honours degree
in any subject other than computing.",English,
Computer & IT,Postgraduate,MSc/PGDip Artificial Intelligence and Computer Science,University of Birmingham,"Msc-AED 148,138(full- time)/AED 74,069(part time), PGDip-AED 98,759(1 year full time)",1 year (full-time)/2 years(part-time),FT Sep/PT Jan,2:2 Honours degree (or equivalent) in any subject other than computing,English,
Business,Undergraduate,BSc Accounting and Finance with Integrated Foundation Year,University of Birmingham,"AED 106,592+AED 114,602",4 years,Sep,"Turkey: Devlet Lise Diplomasi or Lise Bitirme Diplomasi with an overall score of at least 3/5 or 60/100, to include 3/5 in Mathematics for our Engineering and Physical Sciences pathway.",English,
Business,Undergraduate,BSc Accounting and Finance,University of Birmingham,"AED 114,602",3 years,Sep,3 A Levels. Typical offer AAA-ABB. GCSE Mathematics at grade 6/B required.,English,
Business,Undergraduate,BSc Business Management,University of Birmingham,"AED 114,602",3 years,Sep,3 A Levels. Typical offer AAB-BBB. GCSE Mathematics at grade 5/B and English at grade 6/B required.,English,
Business,Undergraduate,BSc Business Management with Year in Industry,University of Birmingham,"AED 114,602",3 years,Sep,"Typical offer:
BBC-BCC",English,
Business,Undergraduate,BSc Business Management with Integrated Foundation Year and Year in Industry,University of Birmingham,"AED 106,592+AED 114,602",4 years,Sep,"Typical offer:
BBC-BCC",English,
Business,Undergraduate,BSc Business Management with Integrated Foundation Year,University of Birmingham,"AED 106,592+AED 114,602",4 years,Sep,Foundation,English,
Business,Undergraduate,BSc Business Management with Economics,University of Birmingham,"AED 114,602",3 years,Sep,Typical offer: AAB-BBB,English,
Business,Undergraduate,BSc Business Management with Economics with Integrated Foundation Year,University of Birmingham,"AED 106,592+AED 114,602",4 years,Sep,Typical offer: BBC-BCC,English,
Business,Undergraduate,BSc Business Management with Finance,University of Birmingham,"AED 114,602",3 years,Sep,Typical offer: AAB-BBB,English,
Business,Undergraduate,BSc Business Management with Finance with Integrated Foundation Year,University of Birmingham,"AED 106,592+AED 114,602",4 years,Sep,Typical offer: BBC-BCC,English,
Business,Undergraduate,BSc Business Management with Marketing,University of Birmingham,"AED 114,602",3 years,Sep,Typical offer: AAB-BBB,English,
Business,Undergraduate,BSc Business Management with Marketing and Year in Industry,University of Birmingham,"AED 114,602",3 years,Sep,Typical offer: BBC-BCC,English,
Business,Undergraduate,BSc Business Management with Marketing with Year in Industry and Integrated Foundation Year,University of Birmingham,"AED 106,592+AED 114,602",4 years,Sep,Typical offer: BBC-BCC,English,
Business,Undergraduate,BSc Business Management with Marketing with Integrated Foundation Year,University of Birmingham,"AED 106,592+AED 114,602",4 years,Sep,Foundation,English,
Business,Undergraduate,BSc Business Management with Psychology with Integrated Foundation Year,University of Birmingham,"AED 106,592+AED 114,602",4 years,Sep,Typical offer: BBC-BCC,English,
Business,Undergraduate,BSc Business Management with Psychology,University of Birmingham,"AED 114,602",3 years,Sep,Typical offer: AAB-BBB,English,
Business,Undergraduate,BSc Economics,University of Birmingham,"AED 114,602",3 years,Sep,Typical offer AAA-ABB,English,
Business,Undergraduate,BSc Economics with Integrated Foundation Year,University of Birmingham,"AED 106,592+AED 114,602",4 years,Sep,"A Level
BBC - BCC",English,
Business,Undergraduate,"BSc Money, Banking and Finance",University of Birmingham,"AED 114,602",3 years,Sep,Typical offer: AAA-ABB,English,
Business,Undergraduate,"BSc Money, Banking and Finance with Integrated Foundation Year",University of Birmingham,"AED 106,592+AED 114,602",4 years,Sep,Foundation,English,
Business,Postgraduate,MSc Accounting and Finance,University of Birmingham,"AED 155,399 (full-time) /AED 77,700 (part-time)",1 year (full-time)/2 years(part-time),Sep,2:1 Honours Degree,English,
Business,Postgraduate,MSc Construction Management,University of Birmingham,"AED 138,456 (full-time)/AED 69,228 (part-time)",1 year (full-time)/2 years(part-time),Sep,2:1 Honours degree,English,
Business,Postgraduate,MSc Financial Management,University of Birmingham,"AED 155,399 (full time)/AED 77,700 (part-time)",1 year (full-time)/2 years(part-time),Sep,Honours degree (2:1 or higher) or overseas equivalent,English,
Business,Postgraduate,MSc Financial Mathematics,University of Birmingham,"AED 128,774",1 year,1 year full-time,,English,
Business,Postgraduate,MSc Human Resource Management,University of Birmingham,"AED 138,456 (full-time)/AED 69,228 (part-time)",1 year (full-time)/2 years(part-time),Sep,Honours degree (2:1 or higher) or overseas equivalent,English,
Business,Postgraduate,MSc International Business,University of Birmingham,"AED 143,297 (full time)/AED 71,649 (part time)",1 year (full-time)/2 years(part-time),Jan/Sep,Honours degree (2:1 or higher) or oversea's equivalent,English,
Business,Postgraduate,MSc Marketing,University of Birmingham,"AED 143,297(full time)/AED 71,649 (part time)",1 year (full-time)/2 years(part-time),Sep,Honours degree (2:1 or higher),English,
Business,Postgraduate,Master of Business Administration,University of Birmingham,"AED 123,900",2 years(part time),2025-02-01 00:00:00,2.1 good Honours degree or equivalent,English,
Business,Postgraduate,MSc Supply Chain Management,University of Birmingham,"AED 148,138(full time)/AED 74,069(part time)",1 year (full-time)/2 years(part-time),Sep,Honours degree (2:1 or higher) or overseas equivalent,English,
Business,Postgraduate,MSc Urban Planning,University of Birmingham,"AED 138,456(full time)/AED 61,967(part time)",12 months (full time)/24 months(part time),Jan,"2:1, or equivalent, in a related subject",English,
Science & Healthcare,Undergraduate,BSc Biomedical Science,University of Birmingham,"AED 126,309",3 years,Sep,"Number of A levels required:3. Typical offer: AAB-ABB
Required subjects and grades:Two science A levels from Biology, Chemistry, Mathematics, or Physics; GCSE grade B/6 in Mathematics, and B/6 in Biology and Chemistry (or double award science) if not offered at a higher level.",English,
Science & Healthcare,Undergraduate,BSc Biomedical Sciencewith Integrated Foundation Year,University of Birmingham,"AED 138,456+AED 126,309",4 years,Sep,"Turkey: Devlet Lise Diplomasi or Lise Bitirme Diplomasi with an overall score in grade 12 of at least 70/100, to include at least 70/100  in Mathematics for our Engineering and Physical Sciences pathway.",English,
Science & Healthcare,Undergraduate,BSc Psychology,University of Birmingham,"AED 126,309",3 years,Sep,AAA - ABB A Minimum of 5/B in GCSE Math’s or equivalent is also required.,English,
Science & Healthcare,Undergraduate,BSc Psychology with Integrated Foundation Year,University of Birmingham,"AED 114,602+AED 126,309",4 years,Sep,BBC - BCC We normally require BBC but BCC will be considered depending on A-level subjects.,English,
Science & Healthcare,Undergraduate,BSc Psychology with Business Management with Integrated Foundation Year,University of Birmingham,"AED 109,145+AED 126,309",4 Years,Sep,BBC - BCC We normally require BBC but BCC will be considered depending on A-level subjects.,English,
Science & Healthcare,Undergraduate,BSc Psychology with Business Management,University of Birmingham,"AED 126,309",3 Years,Sep,AAA - ABB A Minimum of 5/B in GCSE Math’s or equivalent is also required.,English,
Science & Healthcare,Postgraduate,MSci Biomedical Science,University of Birmingham,"AED 126,309",4 Years,Sep,"Number of A levels required: 3 AAB. Typical offer: AAB-ABB
Required subjects and grades: Two science A levels from Biology, Chemistry, Mathematics, or Physics; GCSE grade B/6 in Mathematics, and B/6 in Biology and Chemistry (or double award science) if not offered at a higher level.",English,
Science & Healthcare,Postgraduate,MSc/Diploma/Certificate Advanced Practice in Healthcare,University of Birmingham,"AED 138,456(full-time)/AED 69,228(2 years part time)/AED 46,152(3 years part time)",1 year (full time/)2-3 years (part time),Jan/Sep,2:1 Honours degree in your clinical field of practice,English,
Science & Healthcare,Postgraduate,MSc Manipulative Physiotherapy,University of Birmingham,"AED 138,456",1 year(full time)/2-3 years(part time),,,English,
Science & Healthcare,Postgraduate,MSc Musculoskeletal Physiotherapy,University of Birmingham,"AED 138,456",1 year(full time)/2-3 years(part time),Sep,2:1 Honours degree in Physiotherapy (pre-registration),English,
Science & Healthcare,Postgraduate,MSc Microbiology and Infection,University of Birmingham,"AED 138,456(full time)/AED 69,228(part time)",12 months(full time)/24 months(part time),Sep,"2:1 Honours degree (or above) in Life or Medical Sciences, Physics or Chemistry.",English,
Science & Healthcare,Postgraduate,MSc Global Health System Leadership,University of Birmingham,"AED 138,456(full time)/AED 69,228(part time)",1 year (full-time)/2 years(part-time),Jan,2:1 Honours degree (or higher) in a medical or health field of practice,English,
Science & Healthcare,Postgraduate,MSc Mental Health (clinical),University of Birmingham,"AED 138,456",2 years,Sep,2:1 Honours Degree,English,
Science & Healthcare,Postgraduate,Public Health MPH/Diploma/Certificate,University of Birmingham,"AED 138,456(full-time)",1 year (full-time)/2 years(part-time),Sep,2:1 Honours degree in a subject relevant to public health,English,
Engineering,Undergraduate,BSc Computer Engineering,University of Birmingham,"AED 132,778",3 Years,Sep,3 A Levels. Typical offer AAB - ABB including A level Mathematics.,English,
Engineering,Undergraduate,BSc Computer Engineering with Integrated Foundation Year,University of Birmingham,"AED 114,602+AED 132,778",4 years,Jan/Sep,3 A Levels: Typical offer BBB- BCC including Maths,English,
Engineering,Undergraduate,BEng Mechanical Engineering,University of Birmingham,"AED 132,778",3 Years,Sep,3 A Levels. Typical offer AAB - ABB including Mathematics.,English,
Engineering,Undergraduate,BEng Mechanical Engineering with Integrated Foundation Year,University of Birmingham,"AED 114,602+AED 132,778",4 years,Jan/Sep,3 A Levels. Typical offer BBB-BCC including Maths,English,
Engineering,Undergraduate,MEng Computer Science and Software Engineering,University of Birmingham,"AED 132,778",4 years,Sep,A*AA - AAB including A Level Mathematics grade A,English,
Engineering,Undergraduate,MEng Computer Science and Software Engineering with Integrated Foundation Year,University of Birmingham,"AED 114,602+AED 132,778",5 years,Jan/Sep,3 A Levels. Typical offer BBB-BCC including Maths,English,
Engineering,Undergraduate,MEng Mechanical Engineering,University of Birmingham,"AED 132,778",4 years,Sep,3 A Levels. Typical offer AAB - ABB. A level Mathematics grade A,English,
Engineering,Undergraduate,MEng Mechanical Engineering with Integrated Foundation Year,University of Birmingham,"AED 114,602+AED 132,778",5 years,Jan/Sep,3 A Levels. Typical offer BBB-BCC including Maths,English,
Engineering,Postgraduate,MSc Advanced Engineering Management,University of Birmingham,"AED 138,456 (full-time) /AED 69,228 (part-time)",1 year (full-time)/2 years(part-time),FT Sep/PT Jan,2:1 Honours degree,English,
Engineering,Postgraduate,MSc/PGDip  Railway Systems Engineering and Integration,University of Birmingham,"MSc-AED 138,456(full time), AED 69,228(part time)",1 year (full-time)/2 years(part-time),Sep,"2:1 Honours degree in a relevant subject (eg, Engineering, Physics, Economics or Mathematics)",English,
Engineering,Postgraduate,MSc Renewable Energy Engineering,University of Birmingham,"AED 138,456",1 year (full-time)/2 years(part-time),Sep,2:1 Honours degree,English,
Education,Postgraduate,MA/ PGCert Education (Inclusion and Special Educational Needs),University of Birmingham,"AED 36,631","PGCert 1 year(part time), MA 3 years (part time)",Jan/Sep,2:2 degree,English,
Education,Postgraduate,MA Education (Leadership),University of Birmingham,"AED 36,631",2 years(part time),Jan,2:2 degree or above,English,
Education,Postgraduate,MA Education (Learning and Teaching),University of Birmingham,"AED 36,631",2 years(part time),Jan/Sep,A degree of at least 2:2 or above,English,
Education,Postgraduate,MSc Health Data Science,University of Birmingham,"AED 138,456 (full time)",18 months (part-time)/1 year(full-time),FT Sep/PT Jan,"2:1 Honours degree in Biology, Mathematics, Computer Science or other relevant subject",English,
Education,Postgraduate,Postgraduate Certificate in Education (International) (PGCEi),University of Birmingham,"AED 36,631",1 year(part time),Jan,A degree (equivalent to a UK Bachelors Degree of at least 2:2 or above),English,
Education,Postgraduate,Postgraduate Certificate in Education: Primary (5-11 years) with iQTS,University of Birmingham,"AED 69,755",1 year,Sep,2.2 degree or equivalent.,English,
Law,Postgraduate,LLM Energy and Environmental Law,University of Birmingham,"AED 114,250(full time)/AED 57,125(part time)",1 year (full-time)/2 years(part-time),FT Sep/PT Jan,A 2:1 Honours Degree (or international equivalent) in Law,English,
Law,Postgraduate,LLM General,University of Birmingham,"AED 114,250(full time)/AED 57,125(part time)",1 year (full-time)/2 years(part-time),FT Sep/PT Jan,A 2:1 Honours Degree (or international equivalent) in Law,English,
